nombre_en_ingles,leiva,estacion_cacao,Nueva Zelandia,quica,sensoria,total
Olive-backed Euphonia,NA,1,NA,6,3,10
Tawny-capped Euphonia,NA,NA,NA,NA,1,1
Common Chlorospingus,NA,8,NA,NA,NA,8
Stripe-headed Sparrow,3,NA,NA,NA,NA,3
Black-striped Sparrow,NA,NA,NA,2,NA,2
Eastern Meadowlark,NA,1,NA,NA,NA,1
Red-breasted Meadowlark,NA,NA,1,NA,NA,1
Montezuma Oropendola,13,NA,NA,5,23,41
Baltimore Oriole,3,NA,19,1,6,29
Melodious Blackbird,2,2,2,18,39,63
Great-tailed Grackle,22,NA,22,NA,8,52
Northern Waterthrush,1,NA,NA,1,NA,2
Golden-winged Warbler,NA,NA,NA,NA,1,1
Black-and-white Warbler,1,NA,NA,NA,NA,1
Tennessee Warbler,2,3,NA,NA,1,6
American Redstart,NA,NA,NA,1,NA,1
Tropical Parula,NA,NA,NA,NA,1,1
Yellow Warbler,1,NA,1,1,4,7
Chestnut-sided Warbler,5,NA,NA,2,6,13
Black-throated Green Warbler,NA,1,NA,NA,1,2
Chestnut-capped Warbler,NA,1,NA,NA,NA,1
Golden-crowned Warbler,NA,6,NA,NA,NA,6
Buff-rumped Warbler,NA,1,NA,NA,1,2
Slate-throated Redstart,NA,2,NA,NA,NA,2
Summer Tanager,5,NA,NA,1,5,11
Red-throated Ant-Tanager,5,1,NA,NA,3,9
Black-faced Grosbeak,NA,NA,NA,25,1,26
Blue-black Grosbeak,NA,NA,NA,1,1,2
Gray-headed Tanager,NA,1,NA,NA,NA,1
White-shouldered Tanager,1,NA,NA,3,2,6
Scarlet-rumped Tanager,20,NA,NA,17,9,46
Blue-gray Tanager,1,NA,1,3,7,12
Palm Tanager,1,NA,NA,NA,2,3
Golden-hooded Tanager,1,NA,NA,5,3,9
Rufous-winged Tanager,NA,NA,NA,NA,1,1
Silver-throated Tanager,NA,NA,NA,NA,2,2
Shining Honeycreeper,NA,NA,NA,3,4,7
Red-legged Honeycreeper,NA,NA,NA,5,9,14
Green Honeycreeper,2,NA,NA,3,2,7
Blue-black Grassquit,2,NA,NA,7,NA,9
Thick-billed Seed-Finch,NA,NA,NA,5,NA,5
Variable Seedeater,5,NA,NA,1,8,14
Bananaquit,NA,NA,NA,1,3,4
Yellow-faced Grassquit,NA,1,NA,NA,NA,1
Buff-throated Saltator,2,NA,NA,4,1,7
Cinnamon-bellied Saltator,1,NA,NA,NA,1,2
Magnolia Warbler,NA,1,NA,NA,NA,1
Ruddy-capped Nightingale-Thrush,NA,1,NA,NA,NA,1
Slaty-backed Nightingale-Thrush,NA,2,NA,NA,NA,2
Violaceous Quail-Dove,NA,2,NA,NA,NA,2
Red-tailed Hawk,NA,NA,NA,NA,1,1
