Familia,Nombre científico,Nombre en inglés,"Nombre en español / (Común en
Costa Rica)",Total,Comentarios,sum_ind
NA,Pulsatrix perspicillata,Spectacled Owl,Búho de Anteojos (Oropopo),1,NA,1
NA,Glaucidium brasilianum,Ferruginous Pygmy-Owl,"Mochuelo Común (Cuatro Ojos, Majafierro)",NA,NA,NA
NA,Strix virgata,Mottled Owl,Lechuza Café (Ju de León),NA,NA,NA
Trogonidae,NA,NA,NA,NA,NA,NA
NA,Trogon melanocephalus,Black-headed Trogon,Trogón Cabecinegro (Viuda Amarilla),2,NA,2
NA,Trogon caligatus,Gartered Trogon,Trogón Violáceo,4,NA,4
NA,Trogon elegans,Elegant Trogon,Trogón Elegante (Viuda Roja),4,NA,4
Momotidae,NA,NA,NA,NA,NA,NA
NA,Momotus lessonii,Lesson's Motmot,"Momoto Coroniazul (Pájaro Bobo, Bobo Azul)",NA,NA,NA
NA,Eumomota superciliosa,Turquoise-browed Motmot,Momoto Cejiceleste (Pájaro Bobo),NA,NA,NA
Alcedinidae,NA,NA,NA,NA,NA,NA
NA,Megaceryle  torquata,Ringed Kingfisher,Martín Pescador Collarejo,NA,NA,NA
NA,Megaceryle alcyon,Belted Kingfisher,Martín Pescador Norteño,NA,NA,NA
NA,Chloroceryle amazona,Amazon Kingfisher,Martín Pescador Amazónico,NA,NA,NA
NA,Chloroceryle aenea,American Pygmy Kingfisher,Martín Pescador Enano,NA,NA,NA
NA,Chloroceryle americana,Green Kingfisher,Martín Pescador Verde,4,NA,4
Bucconidae,NA,NA,NA,NA,NA,NA
NA,Notharchus hyperrhynchus,White-necked Puffbird,Buco Collarejo,NA,NA,NA
Ramphastidae,NA,NA,NA,NA,NA,NA
NA,Pteroglossus torquatus,Collared Aracari,"Tucancillo Collarejo (Cusingo, Tití, Félix)",NA,NA,NA
NA,Ramphastos sulfuratus,Keel-billed Toucan,"Tucán Pico Iris (Tucán Pico Arcoiris, Curré Negro)",NA,NA,NA
Picidae,NA,NA,NA,NA,NA,NA
NA,Melanerpes hoffmannii,Hoffmann's Woodpecker,Carpintero de Hoffmann,5,NA,5
NA,Sphyrapicus varius,Yellow-bellied Sapsucker,Carpintero Bebedor,NA,NA,NA
NA,Dryocopus lineatus,Lineated Woodpecker,Carpintero Lineado,NA,NA,NA
